API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
INTL.35-12-GUY-BKWH.A,        Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.35-12-HTI-BKWH.A,        Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.35-12-HITZ-BKWH.A,        Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.35-12-HND-BKWH.A,        Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0.297,0.296,0.307,0.348,0.337,0.35
INTL.35-12-HKG-BKWH.A,        Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.35-12-HUN-BKWH.A,        Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.006,0.009,0.008,0.006,0.002359,0.0069622
INTL.35-12-ISL-BKWH.A,        Iceland,0.05,0.132,0.168,0.182,0.183,0.181,0.212,0.234,0.245,0.257,0.3,0.283,0.23,0.256,0.26,0.29,0.346,0.375,0.655,1.136,1.323,1.451,1.433,1.406,1.483,1.658,2.631,3.579,4.038,4.553,4.234,4.467,5.079,5.245,5.238,5.003,5.068,5.17,6.01,6.018,5.961,5.802,5.916,5.7001537
INTL.35-12-IND-BKWH.A,        India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.35-12-IDN-BKWH.A,        Indonesia,0,0,0.074,0.198,0.205,0.38,0.57,0.713,0.961,0.957,1.125,1.049,1.084,1.09,1.935,2.21,2.352,2.605,2.617,2.728,4.869,6.031,6.238,6.294,6.656,6.604,6.658,7.021,8.309,9.295,9.357,9.371,9.417,9.414,10.038,10.048,10.656,12.764,14.019,14.1,15.563,15.899,16.677,16.936
INTL.35-12-IRN-BKWH.A,        Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INTL.35-12-IRQ-BKWH.A,        Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.35-12-IRL-BKWH.A,        Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.35-12-ISR-BKWH.A,        Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.35-12-ITA-BKWH.A,        Italy,2.569,2.562,2.626,2.588,2.704,2.548,2.639,2.842,2.926,2.991,3.222,3.182,3.459,3.667,3.417,3.436,3.762,3.905,4.214,4.403,4.705,4.507,4.662,5.341,5.437,5.324,5.527,5.569,5.52,5.342,5.046,5.315,5.252,5.32,5.567,5.824,5.867,5.8215,5.7573,5.6888,5.6469,5.5298,5.4504088,5.3522487
INTL.35-12-JAM-BKWH.A,        Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.35-12-JPN-BKWH.A,        Japan,1.091,0.845,1.201,1.361,1.279,1.409,1.306,1.328,1.289,1.301,1.741,1.773,1.787,1.778,2.064,3.173,3.673,3.756,3.531,3.451,3.348,3.431,3.374,3.484,3.374,3.226,3.081,3.044,2.75,2.887,2.4568,2.366,2.4,2.3165,2.3412,2.3804,2.2863,2.1936,2.36,2.555,2.992,3.008,2.7646185,3.0052706
